year,Current tax receipts,Personal current taxes,Taxes on production and imports,Taxes on corporate income,Current transfer payments,Government social benefits,To persons,To the rest of the world
1929,9.9,1.7,6.8,1.4,0.8,0.8,0.8,
1930,9.4,1.6,7,0.8,0.9,0.9,0.9,
1931,8.2,1,6.7,0.5,2,1.9,1.9,
1932,7.7,0.7,6.6,0.4,1.3,1.3,1.3,
1933,8.2,0.8,6.9,0.5,1.3,1.3,1.3,
1934,9.3,0.9,7.6,0.7,1.4,1.3,1.3,
1935,10,1.1,8,1,1.6,1.6,1.6,
1936,11.2,1.3,8.5,1.4,2.7,2.7,2.7,
1937,12.4,1.9,8.9,1.5,1.7,1.6,1.6,
1938,11.8,1.9,8.9,1,2.2,2.1,2.1,
1939,12.1,1.5,9.1,1.4,2.3,2.2,2.2,
1940,14.3,1.7,9.8,2.8,2.4,2.4,2.4,
1941,21,2.3,11.1,7.6,2.3,2.3,2.3,
1942,27.8,4.9,11.5,11.4,2.4,2.3,2.3,
1943,43.2,16.7,12.4,14.1,2,2.1,2.1,
1944,44.3,17.7,13.7,12.9,2.6,2.7,2.7,
1945,45.2,19.4,15.1,10.7,5.5,5.1,5.1,
1946,43.1,17.2,16.8,9.1,12.4,10.1,10.1,
1947,49.2,19.8,18.1,11.3,12.4,10.4,10.4,
1948,51.4,19.2,19.7,12.4,13.7,9.9,9.9,
1949,47.8,16.7,20.9,10.2,16,10.9,10.9,
1950,59.8,18.9,23,17.9,17,13.4,13.4,
1951,74.4,27.1,24.7,22.6,13.7,10.5,10.5,
1952,78.5,32,27.1,19.4,13.2,11,11,
1953,82.6,33.2,29.1,20.3,13.7,11.7,11.7,
1954,76.7,30.2,28.9,17.6,15.6,13.7,13.7,
1955,86.4,32.9,31.5,22,16.9,14.8,14.8,
1956,92.8,36.6,34.2,22,17.6,15.6,15.6,
1957,96.9,38.9,36.6,21.4,20.1,18.1,18.1,
1958,95.2,38.5,37.7,19,24.2,22.2,22.2,
1959,107.1,42.3,41.1,23.6,26.9,22.9,22.9,
1960,113.4,46.1,44.5,22.7,28.1,24.7,24.4,0.2
1961,117.1,47.3,47,22.8,31.9,28.4,28.1,0.3
1962,126.1,51.6,50.4,24,32.8,29.1,28.8,0.3
1963,134.4,54.6,53.4,26.2,34.3,30.7,30.3,0.3
1964,137.5,52.1,57.3,28,35.1,31.7,31.3,0.3
1965,149.5,57.7,60.7,30.9,38,34.4,33.9,0.5
1966,163.5,66.4,63.2,33.7,42,38,37.5,0.5
1967,173.8,73,67.9,32.7,50.3,46.3,45.8,0.6
1968,203.1,87,76.4,39.4,58.4,53.9,53.3,0.6
1969,228.4,104.5,83.9,39.7,64.1,59.6,59,0.6
1970,229.2,103.1,91.4,34.4,77.3,72.5,71.7,0.7
1971,240.3,101.7,100.5,37.7,92.2,86.2,85.4,0.8
1972,273.8,123.6,107.9,41.9,103,95.8,94.8,1
1973,299.3,132.4,117.2,49.3,115.2,109.8,108.6,1.2
1974,328.1,151,124.9,51.8,135.9,129.9,128.6,1.3
1975,334.3,147.6,135.3,50.9,171.3,165.1,163.1,2
1976,384,172.7,146.4,64.2,184.7,180.1,177.6,2.5
1977,431.3,197.9,159.7,73,196.3,192.1,189.5,2.6
1978,485,229.6,170.9,83.5,211.2,206.2,203.4,2.7
1979,538.2,268.9,180.1,88,236.2,230.4,227.3,3
1980,586.2,299.5,200.3,84.8,282.4,275,271.5,3.5
1981,664.1,345.8,235.6,81.1,318.8,312.1,307.8,4.3
1982,660.1,354.7,240.9,63.1,355.3,347.2,343.1,4.1
1983,694.6,352.9,263.3,77.2,383.1,374.1,370.5,3.6
1984,763,377.9,289.8,94,395.8,384.6,380.9,3.7
1985,824.4,417.8,308.1,96.5,420.9,407.1,403.1,4
1986,869.4,437.8,323.4,106.5,447.2,433,428.6,4.4
1987,966.3,489.6,347.5,127.1,464.9,452.2,447.9,4.3
1988,1019.9,505.9,374.5,137.2,494.6,481.4,476.9,4.6
1989,1110.8,567.7,398.9,141.5,539.7,526.2,521.1,5.1
1990,1163.3,594.7,425,140.6,594.4,580.8,574.7,6.2
1991,1182.2,588.9,457.1,133.6,631.2,656.8,650.5,6.3
1992,1242,612.8,483.4,143.1,758.5,738,731.8,6.2
1993,1320,648.8,503.1,165.4,806.8,785.1,778.9,6.2
1994,1428.2,693.1,545.2,186.7,842.5,822.5,815.7,6.8
1995,1521.2,748.4,557.9,211,886.9,871.5,864.7,6.8
1996,1646.6,837.1,580.8,223.6,934.3,913.9,906.3,7.6
1997,1785.7,931.8,611.6,237.1,960.2,943.3,935.4,7.9
1998,1916.7,1032.4,639.5,239.2,984.1,966.1,957.9,8.2
1999,2040.4,1112.1,673.6,248.8,1019.5,1000.7,992.2,8.5
2000,2207.1,1236.6,708.6,254.7,1075.9,1053.5,1044.9,8.7
2001,2168.2,1239.3,727.7,193.5,1173.5,1155.3,1145.8,9.4
2002,2006.2,1054.7,762.6,181.3,1283.5,1260.1,1250.5,9.7
2003,2054.1,1005.3,808,231.8,1359.8,1331.2,1321.1,10.1
2004,2216.5,1050.6,863.9,292,1446,1415.2,1404.6,10.7
2005,2555.8,1213.2,934.5,395.9,1543.1,1502.3,1491,11.2
2006,2817.9,1357.1,991.9,454.3,1640.5,1605.5,1593.1,12.4
2007,2963.8,1493.2,1034.6,420.7,1753.1,1710.8,1697.5,13.3
2008,2849.6,1507.8,1041.9,281.1,1980.5,1935.4,1920,15.5
2009,2439.2,1152.3,1026.1,246,2177.5,2124.9,2108.8,16
2010,2658.4,1239.3,1057.1,346.3,2351.8,2298.3,2281.7,16.5
2011,2922.1,1453.2,1102.6,349.6,2384.9,2327.3,2310.2,17.1
2012,3077.2,1511.4,1132.1,415.6,2396.9,2341.5,2323.6,18
2013,3305.6,1677.8,1174.9,433.5,2459.6,2405.7,2386.9,18.9
2014,3513.8,1787,1210.2,495.2,2566.8,2514.4,2494.9,19.5
2015,3713.9,1938.7,1237.6,515.4,2699.6,2647.6,2627.2,20.4
2016,3749.1,1965.6,1256.2,504.1,2796.3,2743,2722.1,20.9
